dataset,dimu_mass,n,weighted:sumw,weighted:sumw2
single_top,"(78.0, 79.0]",1.0,0.05972770228981972,0.003567398525774479
single_top,"(79.0, 80.0]",0.0,0.0,0.0
single_top,"(80.0, 81.0]",1.0,0.059099603444337845,0.0034927630331367254
single_top,"(81.0, 82.0]",2.0,0.07135742157697678,0.003812171285971999
single_top,"(82.0, 83.0]",1.0,0.06508274376392365,0.004235763568431139
single_top,"(83.0, 84.0]",0.0,0.0,0.0
single_top,"(84.0, 85.0]",0.0,0.0,0.0
single_top,"(85.0, 86.0]",0.0,0.0,0.0
single_top,"(86.0, 87.0]",0.0,0.0,0.0
single_top,"(87.0, 88.0]",2.0,0.12312950193881989,0.007581486366689205
single_top,"(88.0, 89.0]",0.0,0.0,0.0
single_top,"(89.0, 90.0]",1.0,0.02877335622906685,0.0008279060130007565
single_top,"(90.0, 91.0]",1.0,0.06084049120545387,0.003701565321534872
single_top,"(91.0, 92.0]",0.0,0.0,0.0
single_top,"(92.0, 93.0]",1.0,0.06543676555156708,0.004281970206648111
single_top,"(93.0, 94.0]",0.0,0.0,0.0
single_top,"(94.0, 95.0]",1.0,0.02861768752336502,0.000818972010165453
single_top,"(95.0, 96.0]",0.0,0.0,0.0
single_top,"(96.0, 97.0]",1.0,0.06117143854498863,0.003741944907233119
single_top,"(97.0, 98.0]",0.0,0.0,0.0
single_top,"(98.0, 99.0]",0.0,0.0,0.0
single_top,"(99.0, 100.0]",2.0,0.13915032148361206,0.009833995252847672
single_top,"(100.0, 101.0]",1.0,0.06508274376392365,0.004235763568431139
single_top,"(101.0, 102.0]",1.0,0.060052599757909775,0.0036063147708773613
single_top,"(102.0, 103.0]",0.0,0.0,0.0
single_top,"(103.0, 104.0]",0.0,0.0,0.0
single_top,"(104.0, 105.0]",1.0,0.023012667894363403,0.0005295829032547772
single_top,"(105.0, 106.0]",0.0,0.0,0.0
single_top,"(106.0, 107.0]",0.0,0.0,0.0
single_top,"(107.0, 108.0]",1.0,0.02861768752336502,0.000818972010165453
single_top,"(108.0, 109.0]",0.0,0.0,0.0
single_top,"(109.0, 110.0]",2.0,0.06270360946655273,0.002574312034994364
single_top,"(110.0, 111.0]",0.0,0.0,0.0
single_top,"(111.0, 112.0]",2.0,0.06912831217050552,0.0032425590325146914
single_top,"(112.0, 113.0]",0.0,0.0,0.0
single_top,"(113.0, 114.0]",0.0,0.0,0.0
single_top,"(114.0, 115.0]",0.0,0.0,0.0
single_top,"(115.0, 116.0]",1.0,0.058769624680280685,0.0034538686741143465
single_top,"(116.0, 117.0]",0.0,0.0,0.0
single_top,"(117.0, 118.0]",0.0,0.0,0.0
single_top,"(118.0, 119.0]",2.0,0.10601207613945007,0.005910973530262709
single_top,"(119.0, 120.0]",1.0,0.06508274376392365,0.004235763568431139
single_top,"(120.0, inf]",40.0,2.0721099376678467,0.11870798468589783
ttbar,"(-inf, 60.0]",49.0,11.392979621887207,3.0720505714416504
ttbar,"(60.0, 61.0]",3.0,0.8404315114021301,0.23648963868618011
ttbar,"(61.0, 62.0]",2.0,0.31970882415771484,0.07598567008972168
ttbar,"(62.0, 63.0]",1.0,0.27443209290504456,0.07531297206878662
ttbar,"(63.0, 64.0]",0.0,0.0,0.0
ttbar,"(64.0, 65.0]",3.0,0.8472236394882202,0.24051854014396667
ttbar,"(65.0, 66.0]",2.0,0.35266679525375366,0.07976268231868744
ttbar,"(66.0, 67.0]",2.0,0.5700114369392395,0.16290506720542908
ttbar,"(67.0, 68.0]",3.0,0.8177039623260498,0.2264108806848526
ttbar,"(68.0, 69.0]",3.0,0.7531064748764038,0.19426992535591125
ttbar,"(69.0, 70.0]",0.0,0.0,0.0
ttbar,"(70.0, 71.0]",2.0,0.5785820484161377,0.16756856441497803
ttbar,"(71.0, 72.0]",1.0,0.29318928718566895,0.08595995604991913
ttbar,"(72.0, 73.0]",3.0,0.6080283522605896,0.15226984024047852
ttbar,"(73.0, 74.0]",4.0,0.6267663240432739,0.152695432305336
ttbar,"(74.0, 75.0]",0.0,0.0,0.0
ttbar,"(75.0, 76.0]",0.0,0.0,0.0
ttbar,"(76.0, 77.0]",2.0,0.5634053945541382,0.15875327587127686
ttbar,"(77.0, 78.0]",2.0,0.3418513834476471,0.08849434554576874
ttbar,"(78.0, 79.0]",4.0,0.5234962105751038,0.10866417735815048
ttbar,"(79.0, 80.0]",2.0,0.5241749286651611,0.14025157690048218
ttbar,"(80.0, 81.0]",0.0,0.0,0.0
ttbar,"(81.0, 82.0]",1.0,0.19247379899024963,0.0370461642742157
ttbar,"(82.0, 83.0]",2.0,0.5539771318435669,0.1534584015607834
ttbar,"(83.0, 84.0]",1.0,0.27443209290504456,0.07531297206878662
ttbar,"(84.0, 85.0]",3.0,0.7986069917678833,0.2155645489692688
ttbar,"(85.0, 86.0]",3.0,0.8565946817398071,0.24471324682235718
ttbar,"(86.0, 87.0]",1.0,0.2700299918651581,0.0729161947965622
ttbar,"(87.0, 88.0]",3.0,0.5815805792808533,0.14485086500644684
ttbar,"(88.0, 89.0]",0.0,0.0,0.0
ttbar,"(89.0, 90.0]",1.0,0.29903700947761536,0.08942313492298126
ttbar,"(90.0, 91.0]",3.0,0.5546468496322632,0.14615799486637115
ttbar,"(91.0, 92.0]",0.0,0.0,0.0
ttbar,"(92.0, 93.0]",3.0,0.5994352698326111,0.13426394760608673
ttbar,"(93.0, 94.0]",0.0,0.0,0.0
ttbar,"(94.0, 95.0]",0.0,0.0,0.0
ttbar,"(95.0, 96.0]",2.0,0.5925660133361816,0.17558243870735168
ttbar,"(96.0, 97.0]",1.0,0.18805882334709167,0.03536612167954445
ttbar,"(97.0, 98.0]",0.0,0.0,0.0
ttbar,"(98.0, 99.0]",1.0,0.27443209290504456,0.07531297206878662
ttbar,"(99.0, 100.0]",2.0,0.3012235164642334,0.07603075355291367
ttbar,"(100.0, 101.0]",1.0,0.1608259081840515,0.025864973664283752
ttbar,"(101.0, 102.0]",1.0,0.27954503893852234,0.07814542949199677
ttbar,"(102.0, 103.0]",0.0,0.0,0.0
ttbar,"(103.0, 104.0]",1.0,0.286200612783432,0.08191078901290894
ttbar,"(104.0, 105.0]",0.0,0.0,0.0
ttbar,"(105.0, 106.0]",2.0,0.5495750308036804,0.15106162428855896
ttbar,"(106.0, 107.0]",1.0,0.19247379899024963,0.0370461642742157
ttbar,"(107.0, 108.0]",2.0,0.5636060833930969,0.15910091996192932
ttbar,"(108.0, 109.0]",1.0,0.1608259081840515,0.025864973664283752
ttbar,"(109.0, 110.0]",1.0,0.286200612783432,0.08191078901290894
ttbar,"(110.0, 111.0]",0.0,0.0,0.0
ttbar,"(111.0, 112.0]",1.0,0.29352903366088867,0.08615929633378983
ttbar,"(112.0, 113.0]",2.0,0.41103529930114746,0.09543512016534805
ttbar,"(113.0, 114.0]",1.0,0.19247379899024963,0.0370461642742157
ttbar,"(114.0, 115.0]",1.0,0.08258975297212601,0.006821067072451115
ttbar,"(115.0, 116.0]",2.0,0.5867183208465576,0.17211925983428955
ttbar,"(116.0, 117.0]",2.0,0.30583837628364563,0.08229643106460571
ttbar,"(117.0, 118.0]",1.0,0.286200612783432,0.08191078901290894
ttbar,"(118.0, 119.0]",0.0,0.0,0.0
ttbar,"(119.0, 120.0]",0.0,0.0,0.0
ttbar,"(120.0, inf]",71.0,16.091196060180664,4.300868988037109
wjets,"(-inf, 60.0]",1.0,0.3119172751903534,0.09729238599538803
wjets,"(60.0, 61.0]",0.0,0.0,0.0
wjets,"(61.0, 62.0]",0.0,0.0,0.0
wjets,"(62.0, 63.0]",0.0,0.0,0.0
wjets,"(63.0, 64.0]",0.0,0.0,0.0
wjets,"(64.0, 65.0]",0.0,0.0,0.0
wjets,"(65.0, 66.0]",0.0,0.0,0.0
wjets,"(66.0, 67.0]",0.0,0.0,0.0
wjets,"(67.0, 68.0]",0.0,0.0,0.0
wjets,"(68.0, 69.0]",0.0,0.0,0.0
wjets,"(69.0, 70.0]",0.0,0.0,0.0
wjets,"(70.0, 71.0]",0.0,0.0,0.0
wjets,"(71.0, 72.0]",0.0,0.0,0.0
